timestamp,coin,price
2024-01-01T02:53:00,BTC,39962.4119
2024-01-01T02:53:01,BTC,39987.2358
2024-01-01T02:53:02,BTC,39983.5143
2024-01-01T02:53:03,BTC,39991.8976
2024-01-01T02:53:04,BTC,39961.8271
2024-01-01T02:53:05,BTC,39942.434
2024-01-01T02:53:06,BTC,39965.7559
2024-01-01T02:53:07,BTC,39964.5666
2024-01-01T02:53:08,BTC,39977.0992
2024-01-01T02:53:09,BTC,39977.3091
2024-01-01T02:53:10,BTC,40000.4963
2024-01-01T02:53:11,BTC,39989.0535
2024-01-01T02:53:12,BTC,39942.5728
2024-01-01T02:53:13,BTC,39923.0354
2024-01-01T02:53:14,BTC,39933.7393
2024-01-01T02:53:15,BTC,39938.6944
2024-01-01T02:53:16,BTC,39933.0281
2024-01-01T02:53:17,BTC,39956.3577
2024-01-01T02:53:18,BTC,39943.8921
2024-01-01T02:53:19,BTC,39920.1732
2024-01-01T02:53:20,BTC,39937.3432
2024-01-01T02:53:21,BTC,39923.0881
2024-01-01T02:53:22,BTC,39927.4708
2024-01-01T02:53:23,BTC,39898.005
2024-01-01T02:53:24,BTC,39867.7815
2024-01-01T02:53:25,BTC,39854.2543
2024-01-01T02:53:26,BTC,39898.31
2024-01-01T02:53:27,BTC,39907.5018
2024-01-01T02:53:28,BTC,39901.6475
2024-01-01T02:53:29,BTC,39893.1702
2024-01-01T02:53:30,BTC,39897.6367
2024-01-01T02:53:31,BTC,39900.2039
2024-01-01T02:53:32,BTC,39914.417
2024-01-01T02:53:33,BTC,39955.0925
2024-01-01T02:53:34,BTC,39948.4115
2024-01-01T02:53:35,BTC,40001.438
2024-01-01T02:53:36,BTC,39962.7074
2024-01-01T02:53:37,BTC,39967.1165
2024-01-01T02:53:38,BTC,39952.4345
2024-01-01T02:53:39,BTC,39962.9013
2024-01-01T02:53:40,BTC,39935.9947
2024-01-01T02:53:41,BTC,39919.3425
2024-01-01T02:53:42,BTC,39919.9419
2024-01-01T02:53:43,BTC,39892.4074
2024-01-01T02:53:44,BTC,39955.1944
2024-01-01T02:53:45,BTC,39978.5401
2024-01-01T02:53:46,BTC,39995.0949
2024-01-01T02:53:47,BTC,40002.9931
2024-01-01T02:53:48,BTC,40013.1693
2024-01-01T02:53:49,BTC,40010.2341
2024-01-01T02:53:50,BTC,40015.2646
2024-01-01T02:53:51,BTC,40010.4994
2024-01-01T02:53:52,BTC,39989.3249
2024-01-01T02:53:53,BTC,39985.5472
2024-01-01T02:53:54,BTC,40014.7446
2024-01-01T02:53:55,BTC,40021.3504
2024-01-01T02:53:56,BTC,40054.2459
2024-01-01T02:53:57,BTC,40074.7085
2024-01-01T02:53:58,BTC,40120.6843
2024-01-01T02:53:59,BTC,40125.369
2024-01-01T02:54:00,BTC,40128.9368
2024-01-01T02:54:01,BTC,40120.7646
2024-01-01T02:54:02,BTC,40145.5892
2024-01-01T02:54:03,BTC,40137.1678
2024-01-01T02:54:04,BTC,40150.4784
2024-01-01T02:54:05,BTC,40116.2232
2024-01-01T02:54:06,BTC,40107.0641
2024-01-01T02:54:07,BTC,40136.2936
2024-01-01T02:54:08,BTC,40147.0368
2024-01-01T02:54:09,BTC,40174.5645
2024-01-01T02:54:10,BTC,40164.3858
